legacy_key,id,month,year,name,status
2026-12,2c7fddd3-9eb3-5374-93d9-363c5c7b3d0e,12,2026,Dezembro/2026,ABERTA
2027-01,e18d3c53-80db-5e3b-a670-74afacfb269f,1,2027,Janeiro/2027,ABERTA
2027-02,0ff982dc-78a6-558f-a6d2-e85c6650a9e2,2,2027,Fevereiro/2027,ABERTA
2027-03,7d6a7612-c300-58a6-81b1-669ded436ef7,3,2027,Março/2027,ABERTA
2027-04,af67e8fa-b4e5-52fc-9d3f-4902ca4e0989,4,2027,Abril/2027,ABERTA
2027-05,8962d079-dd06-59a6-a496-1648c3f94524,5,2027,Maio/2027,ABERTA
2027-06,11381011-d313-5a43-9294-2f12592aa597,6,2027,Junho/2027,ABERTA
2027-07,468ca6d3-dbf8-5ba6-be08-c9fa67d2edcd,7,2027,Julho/2027,ABERTA
2027-08,cc0072b2-c8fd-50fe-a994-d9881df0cb44,8,2027,Agosto/2027,ABERTA
2027-09,81a3f2a5-c48c-5a69-960d-aeacc78f2e9f,9,2027,Setembro/2027,ABERTA
2027-10,fca02eb3-2e13-517d-b4d4-a0f66331678e,10,2027,Outubro/2027,ABERTA
2027-11,1b9e311d-0129-51e2-8e6e-5d2bc61c7ffb,11,2027,Novembro/2027,ABERTA
2027-12,1177dbaa-7a08-5b29-96ff-154c16e98440,12,2027,Dezembro/2027,ABERTA
2028-01,5e3ff489-4add-5dc3-b9df-3d0f05c351fb,1,2028,Janeiro/2028,ABERTA
2028-02,9f6923a3-5115-5ebb-9d0f-f751a16131c8,2,2028,Fevereiro/2028,ABERTA
2028-03,e28cd3b6-3521-5e0e-a80d-2a66d677ae19,3,2028,Março/2028,ABERTA
2028-04,044d1a79-784d-562f-a93c-fbacf0d39208,4,2028,Abril/2028,ABERTA
2028-05,4538fe6b-44a5-5457-b6cc-a1b1e1052398,5,2028,Maio/2028,ABERTA
