id,month,year,name,status
001becca-3103-5baa-8878-af67731ee477,1,2018,Janeiro/2018,ABERTA
4c9a638f-f39a-5220-8c34-1b6a73f4b339,2,2018,Fevereiro/2018,ABERTA
d5928f55-8f30-5f90-b7bb-250ce97823d1,3,2018,Março/2018,ABERTA
a23cc9af-d60a-5ee2-9f31-ed1a4d5536b6,4,2018,Abril/2018,ABERTA
6118cfef-5fba-5264-9c47-3e1966f2304f,5,2018,Maio/2018,ABERTA
7960592f-41a7-5c83-814b-303da99b2f36,6,2018,Junho/2018,ABERTA
90cb2855-e8a4-5d37-9739-66d219aaddad,7,2018,Julho/2018,ABERTA
c3312c01-bfc2-55a0-ac58-3983c6cc625e,8,2018,Agosto/2018,ABERTA
7dbb7303-31eb-55bb-8a0a-a5bed062d075,9,2018,Setembro/2018,ABERTA
1fe2a47c-e0eb-50a5-b1d2-3c258a62bdeb,10,2018,Outubro/2018,ABERTA
9569921d-6332-5a17-bd9e-35d162b39d66,11,2018,Novembro/2018,ABERTA
12273b48-c7ec-5665-948e-0b37943c4816,12,2018,Dezembro/2018,ABERTA
be13f2a5-6ac9-52ec-a8aa-09fe15fc38a0,1,2019,Janeiro/2019,ABERTA
394a56b8-a9fd-5357-af67-52da862f9ee8,2,2019,Fevereiro/2019,ABERTA
e7abeef0-222f-532d-bbf2-15e108b1e74a,3,2019,Março/2019,ABERTA
247e0db9-fb85-5a1a-a8f0-4a87bede73c1,4,2019,Abril/2019,ABERTA
de844e69-6265-5bf2-a1f8-7c16876e928a,5,2019,Maio/2019,ABERTA
a3b25180-ca14-582c-b966-9baf4b4558bb,6,2019,Junho/2019,ABERTA
35752d7a-2c8d-5ead-9d56-af79c7d7d829,7,2019,Julho/2019,ABERTA
f973a0e1-523b-51a6-a47f-4779358fbf63,8,2019,Agosto/2019,ABERTA
57d95114-dc98-5758-ab90-c3bd6d823ec6,9,2019,Setembro/2019,ABERTA
508cb660-210c-5aec-883d-747c54a502a7,10,2019,Outubro/2019,ABERTA
58ab74fa-784e-5105-b6b2-5f857b9448ce,11,2019,Novembro/2019,ABERTA
08e2926e-d938-50a6-8901-2e71405f427d,12,2019,Dezembro/2019,ABERTA
ef9620be-072a-5b32-9585-5a129a7b833e,1,2020,Janeiro/2020,ABERTA
66c17411-fc0c-5d9f-ac07-f00b43ef316f,2,2020,Fevereiro/2020,ABERTA
2c3ca453-329a-566b-acb3-0e5ba69009d1,3,2020,Março/2020,ABERTA
7e6c72f6-0ce3-5aec-aa9c-371061af2740,4,2020,Abril/2020,ABERTA
f098a626-79ae-541c-ad8d-70d6b916e076,5,2020,Maio/2020,ABERTA
f3ca9c02-b631-546b-b907-d885f979b2e5,6,2020,Junho/2020,ABERTA
f1dbe714-fee1-52e5-b4e7-dcd54ed1e7b5,7,2020,Julho/2020,ABERTA
3bae76c7-4527-5acf-bafc-715009c9b75e,8,2020,Agosto/2020,ABERTA
fd5e1917-e11a-5e62-b4f7-4c5207578164,9,2020,Setembro/2020,ABERTA
d5e7f79e-0135-5dea-8aaa-b317219fef2f,10,2020,Outubro/2020,ABERTA
c078550d-1087-528b-b1ba-442748e3b26e,11,2020,Novembro/2020,ABERTA
df995c31-eca8-5c91-80a1-8b15a15b7b05,12,2020,Dezembro/2020,ABERTA
d1e4536b-ab1f-534e-9b71-668f8f66f311,1,2021,Janeiro/2021,ABERTA
f100758b-d730-5915-adaa-10cafd4f745a,2,2021,Fevereiro/2021,ABERTA
6ede0af4-aa6c-53d2-964f-3960137d8277,3,2021,Março/2021,ABERTA
c0f62bf7-1adc-5bf2-a613-67566f93c379,4,2021,Abril/2021,ABERTA
c1daf541-b02b-5064-ba47-3eb6e5c00a73,5,2021,Maio/2021,ABERTA
ad0f6ea1-0c09-5080-a05e-aa8b6e767738,6,2021,Junho/2021,ABERTA
33824119-36da-53ac-aaa3-b8abba667b1c,7,2021,Julho/2021,ABERTA
f0b274ba-2e54-5224-8b58-92907c7fb6e7,8,2021,Agosto/2021,ABERTA
ab644493-e604-5c64-8570-e2b88ee16822,9,2021,Setembro/2021,ABERTA
ca8a51fd-db25-59c8-b5ac-dbe59a72a140,10,2021,Outubro/2021,ABERTA
77c54301-c100-5dd5-ae0d-11977f297a32,11,2021,Novembro/2021,ABERTA
c5da898e-459d-5465-b110-096be8cccbb2,12,2021,Dezembro/2021,ABERTA
3ad31ad4-113e-5d8e-9030-aea145f81d41,1,2022,Janeiro/2022,ABERTA
931c0247-f79f-59fe-a62d-6ddd4ba79f3a,2,2022,Fevereiro/2022,ABERTA
ea2ced34-e8f0-5021-a2b0-cec072bb6c3a,3,2022,Março/2022,ABERTA
6a1d8cef-ca36-5606-9dd0-21dfd0739e77,4,2022,Abril/2022,ABERTA
d7896448-766b-5122-b3dd-28c5b77fb498,5,2022,Maio/2022,ABERTA
85a8f5ad-134c-5397-a208-e76a43a10cac,6,2022,Junho/2022,ABERTA
acab9247-edfa-5e3e-b28d-88d0832fd7eb,7,2022,Julho/2022,ABERTA
c3eefb4a-e533-516b-84a0-8e49fb19f0bd,8,2022,Agosto/2022,ABERTA
43e7faf3-f83e-54a1-8783-ec3205102cbf,9,2022,Setembro/2022,ABERTA
8f5f5e31-b3e1-5fec-9c68-fb4582f9522e,10,2022,Outubro/2022,ABERTA
8e79f9a4-861b-5dcc-a6e0-07e2040a7e4d,11,2022,Novembro/2022,ABERTA
516a5549-8056-5a6d-9af5-e0256247d53e,12,2022,Dezembro/2022,ABERTA
e8fe218b-81f7-5b72-9886-599898031688,1,2023,Janeiro/2023,ABERTA
6ac06fe1-3dfb-5eb1-a4ef-74adab7862b7,2,2023,Fevereiro/2023,ABERTA
6f91de3b-7cd5-52b6-a5df-41bb284bdfeb,3,2023,Março/2023,ABERTA
1816dec2-b342-53ed-9e78-452d153501c8,4,2023,Abril/2023,ABERTA
0e053e04-a5c7-54ab-8d68-a403e0545f4f,5,2023,Maio/2023,ABERTA
eec1f610-089f-5c77-aa14-cfc8f750a8ce,6,2023,Junho/2023,ABERTA
d6adaf72-f0c5-5211-9503-a4072b9b8a33,7,2023,Julho/2023,ABERTA
4d61124f-fe5b-59ba-8cb5-b29cfebacf8e,8,2023,Agosto/2023,ABERTA
b5fce2d8-83c0-5335-8b02-10842db5cc04,9,2023,Setembro/2023,ABERTA
8552dbba-f33a-5a6b-98fc-d525944e27fc,10,2023,Outubro/2023,ABERTA
be7effc7-9ae7-5e1c-b79b-986b827dc807,11,2023,Novembro/2023,ABERTA
6c87a9fa-a206-54a0-92f7-5ecc3f9a87d0,12,2023,Dezembro/2023,ABERTA
446dbfb7-1292-5139-a8f2-cbe9903a22df,1,2024,Janeiro/2024,ABERTA
bd68663c-0191-56a4-a86a-f8f23a2ec6e8,2,2024,Fevereiro/2024,ABERTA
6603e972-c143-506e-8ee4-5e8af79e4bf1,3,2024,Março/2024,ABERTA
ff046642-f473-5deb-a10a-c94b6033da8c,4,2024,Abril/2024,ABERTA
f83645ad-2600-5721-8754-a60519ad48d9,5,2024,Maio/2024,ABERTA
fc32b39e-d0e5-56b5-8b2b-022b5da8041a,6,2024,Junho/2024,ABERTA
2ec3e107-3fdf-5f87-a01b-80736068144f,7,2024,Julho/2024,ABERTA
eddb86d7-ddc4-5db7-8a59-21173dbdf878,8,2024,Agosto/2024,ABERTA
b555f9a0-4470-5855-bebd-e6f604ec9851,9,2024,Setembro/2024,ABERTA
c93a724f-f978-55c9-94dc-676d7fa4fdba,10,2024,Outubro/2024,ABERTA
562497ff-39fe-5f25-9a74-97e85b144b46,11,2024,Novembro/2024,ABERTA
71b0510d-2fa2-53b0-98b5-99e164ad8bca,12,2024,Dezembro/2024,ABERTA
1e9e5884-8a6f-566d-8372-fc62195b1f0b,1,2025,Janeiro/2025,ABERTA
a23d7201-c5d1-5216-92be-eef6b09fad16,2,2025,Fevereiro/2025,ABERTA
281e3320-b984-59f2-b7f6-fed9b7d503c7,3,2025,Março/2025,ABERTA
1c9955e9-f649-55c1-ad69-e83ba13e4d9f,4,2025,Abril/2025,ABERTA
b0c3a12c-87f7-5c08-9956-6d334f548466,5,2025,Maio/2025,ABERTA
a8a259d7-265c-5b86-9720-01d342c6f20d,6,2025,Junho/2025,ABERTA
3e27583e-0294-5398-8cf2-5880b3f35f7e,7,2025,Julho/2025,ABERTA
ca75d996-eb20-5792-8756-d6281e9aa305,8,2025,Agosto/2025,ABERTA
2be97f9d-5cd2-5b15-9cb6-d5880c7173ef,9,2025,Setembro/2025,ABERTA
b8066519-e0d7-52e4-992c-54b726fcab07,10,2025,Outubro/2025,ABERTA
d2ee1393-28fc-565a-a007-9ab157484200,11,2025,Novembro/2025,ABERTA
7b6a0f43-c3d5-5726-91c7-6066d439a6b5,12,2025,Dezembro/2025,ABERTA
c8c83688-9956-59d1-8b41-edbc368f1447,1,2026,Janeiro/2026,ABERTA
02f454a1-396c-522a-b53e-7db29f3a6eb1,2,2026,Fevereiro/2026,ABERTA
d6faaa0a-32e6-527f-a33d-45dd04e39d5d,3,2026,Março/2026,ABERTA
82e7192c-0a1f-5121-b560-c526d20d33f6,4,2026,Abril/2026,ABERTA
17fcff32-ef06-5129-b7ef-c5095617a2f9,5,2026,Maio/2026,ABERTA
6c1aa586-9880-51bf-9754-a05e9371dee3,6,2026,Junho/2026,ABERTA
197d47b1-aceb-5525-b163-63e0f2432daa,7,2026,Julho/2026,ABERTA
7b27a53c-3843-5fc2-8bd3-57b90d6d8575,8,2026,Agosto/2026,ABERTA
62a70e9f-735a-58b3-9ff2-b8d70a97fbac,9,2026,Setembro/2026,ABERTA
710a62fd-50a0-5adc-b068-507d78fdfe67,10,2026,Outubro/2026,ABERTA
b136a3b9-7573-51fe-809e-224b70d8920c,11,2026,Novembro/2026,ABERTA
2c7fddd3-9eb3-5374-93d9-363c5c7b3d0e,12,2026,Dezembro/2026,ABERTA
e18d3c53-80db-5e3b-a670-74afacfb269f,1,2027,Janeiro/2027,ABERTA
